idx,conversation,Predicted Label,True Label
1,이 대리 어제 피곤했나 봐? 아 아닙니다 아니긴 낯빛이 어두운데? 흠 그런가요.? 아 이 대리 혹시 오늘 화장 안 해서 그런가? 아. 넵. 이 대리도 생얼이랑 많이 다르네 부장님. 말이 너무 심하신 거 아닌가요.? 말이 심하긴 눈에 보이는 걸 얘기한 건데? 난 이 대리가 걱정돼서 그러지 아. 넵 알겠습니다.,2,3
2,야 너 저요.? 그래 일로와 바 네. 왜 선배 보고 인사 안 하지? 죄송합니다. 내가 약해 보이는구나 한번 혼 좀 나볼까? 니요. 죄송합니다 죄송하면 다야? 재수가 없으려니까 내가 171로 애새끼들 녹다운 시킨 사람이야 너도 두개골 깨지고 싶냐? 죄송합니다 선배님,2,0
3,정의의 사도 내부 고발자가 된 기분이 어때?. 과장님께는 죄송하지만 제 입장에선 어쩔 수 없는 일이었습니다 하이고 잘났네 잘났다 뉘 집 아들인지 잘났어? 죄송합니다. 과장님께 개인적인 원한은 없습니다 그래그래 이렇게 잘난 아들 두신 부모님 가평에서 국밥집 하시던데? 네. 그건 어떻게 아 뭐 일도 아니지 그런 거 알아내는 건 나도 조만간 국밥집 가서 국밥 좀 팔아드리고 부모님 면담 좀 해볼까 봐 아들 잘 키우셨다고 과장님 왜?? 이제 곧 잘리면 과장이 될지 범죄가 될지 모르는데 내가 지금 무서운 게 있는 것 같아?? 과장님. 왜 그러십니까. 우리 부모님은 이일과 아무런 상관이 없습니다,2,0
4,야 내가 오늘까지 돈 갖고 오랬지? 미안해. 엄마가 카드를 정지시켜서 어쩔 수가 없었어 장난하냐? 진짜야 믿어줘 그건 내 알 바 아니고. 돈이나 갖고 오라고 조금만 시간을 줘 일주일 내로 어떻게든 구해볼게 야 너 내가 만만하냐? 미. 미안해 내일. 내일까지 꼭 가져올게 아 진짜. 이 새끼 확 죽여버릴까? 미안해 야 너 하나 불구 만들거나 죽이는 건 일도 아니야. 잘 좀 하자.? 어? 응 미안해,0,1
5,저 제 스타일이신데 번호 점 싫어요 아 존나 튕기네 싫다는데 왜 물어봐요 존나 비싸게 구네 비싸게 굴지 말고 전번 좀 주라 저 남자친구 있어서 한번 줄 수 없어요 그럼 친구라도 지내게 전화번호 좀 주세요 싫어요 왜 자꾸 전화번호 달라고 하세요 한번 줄 때까지 휴대폰 안 줄 거예요 한번 줄 테니까 휴대폰 주세요,1,3
6,빨리 은행 비밀번호를 알려라. 안됩니다. 은행 비밀번호는 알려줄 수 없습니다 머라고? 내가 장난하는 거 같나? 알려주지 않으면 이 칼로 너를 죽여버리겠다 제발 살려주십시오. 은행에 저의 어머니 수술비가 들어있습니다. 안됩니다 내가 그런 사정 봐줄 거 같나? 어서 빨리 말해라 다시 한번만 생각해 주십시오. 이게 없으면 저희 어머니는 수술받지 못해 죽습니다. 그렇다면 네가 대신 죽으면 되겠군. 빨리 말해라 아니면 죽여버리겠다 살려주십시오. 제발 살려주세요 빨리 말해라 두 번 말하게 하지 마라 여기 있습니다. 저희 어머니 수술비입니다. 제발 돌려주십시오,0,1
7,이민수 씨 맞으시죠? 네 누구시죠 당신 몸 캠리 찍힌 동영상 너희 부모님 친구들한테 보내려 하는데 어때? 뭐? 너 뭐 하는 놈이야 당장 이 계좌로 천만 원 보내 아니 그렇게 큰돈을 어떻게. 허. 내 말이 장난 같나 보구나 너네 엄마한테 먼저 보내주지 제발요 아니 보낼게요 보내면 되잖아 당장 보내 3분 줄게 그 안에 안 보내면 알아서 생각해 알았어요 제발 기다려주세요 흐흐 3분이라 했어 빨리 보내는 게 좋을 거야,1,0
8,우리 귀여운 철수야 여기 돈 줄 테니까 핫도그랑 콜라 좀 사다 줄래? 남은 돈은 너 가져 심부름값이야 핫도그랑 콜라 사려면 돈이 부족한데.?? 무슨 소리야? 나머지 돈은 네가 채우는 거고. 나. 돈 없어. 이 길동이가 말대꾸가 늘었네? 사 오라면 사 와. 돈 없다고. 에라 내랄 돈 업다고 그건 네 사정이고요 종 친다. 빨리 갔다 와 알겠어. 그럼 이렇게 말 잘 들어야지. 아까는 다른 사람인 줄 알았다?.,1,3
9,어이 김 씨 오늘 입금 날인데? 돈이 안 들어왔네? 며칠만 더 시간 좀 주세요. 그 말만 몇 번째야 김 씨 얼굴 봐서 좋게 해주려고 했는데 이거 안되겠네 제발 부탁드립니다. 최대한 빨리 구해오겠습니다 오늘 오후까지 돈 안 들어 오면 가만 안 둘 줄 알아 오늘까지요.? 시간을 조금만 더. 지금 내가 장난하는 걸로 보여? 아. 아닙니다 오늘 오후까지야 우리 얼굴 좀 그만 봤으면 좋겠다,0,1
10,당신 아들 목소리 맞지? 네. 제 아들 맞아요. 제발 제발 건들지 말아 주세요. 지금 말하는 것만 지키면 된다. 뭐든 하겠습니다. 2시간 줄 테니깐 신촌역 3번 출구 앞 농협 기 소화전 옆에 300만 원 놓고 가. 네? 두 시간이요? 두 번 말 안 한다. 이 시간이 지나면 너 아들 얼굴 못 볼 줄 알아. 제발 제발 제 아들만은 건들지 말아 주세요. 그럼 약속 장소에 당장 돈 들고 오면 되겠네. 네.,1,0
11,야 찐따 매점 가서 빵 사와 알았어. 어떤 거 사다 줄까? 알아서 내가 좋아하는 걸로 사와 이 찐따야 그럼 돈은.? 돈은 네 돈으로 사야지 빌린 걸로 치자. 나도 돈 없는데. 네가 알아서 마련해서 사 와야지 어쩌라고? 나 정말 돈 없어. 알아서 해. 대신에 다음 시간까지 빵 안 사 오면 뒤진다. 알겠어.,1,3
12,야 너 가냐?? 일병 안반 위. 넵 갑니다 그럼 나 가는 길에 몬스터 하나만 사다 주라 몬스터 말씀이십니까? 으며. 몇 개 필요하십니까.? 5개만 사와 저 그럼 도. 돈은. 나 지갑 없는데?? 아. 네. 알겠습니다,1,2
13,오랜만이네요. 당신이의 수술을 집도하셨던데 수술은 잘 됐습니다. 일시적인 쇼크니 곧 깨어날 겁니다 이 사람 깨어나면 병원에서의 모든 행적 나한테 다 보고해요 네? 그게 무슨 말씀이신지. 제가 왜 그래야 하는 거죠.? 그냥 당신은 내가 시키는 일만 잘 하면 됩니다. 이 돈이면 당신이 불평 없이 할 거라고 생각해요 난. 허브 이렇게 큰돈을. 그럼요 맡겨만 주십시오 대신 이 사실을 그 자가 알게 되는 날엔 당신은 물론 당신 가족까지 어디 하나 불구가 될 각오는 해야 할 겁니다. 명심하겠습니다. 그럼 거래는 성사된 걸로 알고 이만 가보죠 난.,1,0
14,당신이 웬일로 저녁을 차렸어? 참나 오래 살고 볼 일이네. 어쩌면 이게 마지막 함께 하는 저녁일 수도 있으니까요. 잘 생각했어. 드디어 이혼해 주려는 거야? 무슨 바람인 지 모르겠지만 고마워. 그래요. 당신이 그 여자를 더 사랑하고 소중하다고 하니 나도 비참해서 더는 못 살겠네요. 마음 바뀌기 전에 사인부터 하지. 그래요. 뭐 마지막 소원이 될 수도 있는데 마지막 소원? 아 하긴 내가 당신한테 이보다 더 바라는 게 없었지. 고맙네. 고마워 그거 알아요 당신? 이거 맛있네. 뭘 아냐는 거야? 복어는 독이 있는 생선이잖아요. 내가 오늘 복어를 어떻게 손질했는지 궁금하지 않아요? 당신. 설마. 지금?,1,0
15,여기에 지장 찍으라고. 이번 달까지는 돈 정말 갚을게요. 내가 오늘 기분이 좀 안 좋아서. 맞고 찍을래? 그냥 찍을래? 정말 못 찍어요. 이번 달까지는 돈 갚을게요. 아 그러셔? 그럼 맞고 지장 찍자. 재산 몰수는 정말 안돼요. 아니 맞는 걸로 끝내려 했는데 그냥 오늘 죽을래? 알겠어요 찍을게요. 이게 정신을 차리네. 재산은 정말 안되는데.,0,1
16,선생님 이번에 수학여행 좀 저 대신 다녀와주세요 수학여행이요? 선생님 반이요? 네 갑자기 왜요? 아 제가 몸이 좀 안 좋을 것 같아서 부탁 좀 드릴게요 그래도 별다른 이유도 없는데 제가 가는 것도 안 좋아 보일 것 같아요 선생님 곧 계약 끝나시지 않으세요? 여기 이사장 우리 외삼촌인 거 아시죠? 아. 네 이번 수학여행만 잘 다녀오시면 제가 말씀 좀 드려볼게요 외삼촌이 저 이뻐하시거든요 애들 데리고 수학여행 갈 생각하니까 벌써부터 두통이 와서 잠이 안 와 피부가 푸석푸석해지더라고요 네.,3,2
17,당장 무릎 꿇어. 네? 무릎 꿇으라고. 그리고 넌 이 가방에 돈 담아. 알겠습니다. 조금이라도 까딱하면 총으로 쏴버릴 거야. 경찰입니다. 경보 듣고 왔습니다. 거기서 더 들어오지 마. 들어오면 인질 죽어. 뭘 바라십니까? 탈출할 수 있는 헬기와 100억 원. 알겠습니다. 인질을 풀어주세요.,1,0
18,김 씨 저번에 빌려 간 돈 이자가 오백만 원이야 아니 원금이 50만 원인데 어떻게 이자가 500일 수 있습니까? 계약서에 적혀있잖아 당장 돈 갚아 그럴 수 없습니다 이건 법적으로 따져도 이자가 너무 높습니다 김 씨 죽고 싶어? 김 씨 신장 하나 잃고 싶어? 아니 무슨 말을 그렇게 합니까? 돈 없으면 몸으로 갚아야 할 것 아냐 경찰에 신고하겠습니다 신고? 당신 몸으로 갚아 그럼 야 김 씨가 신장 하나 떼 가란다 이거 놔,0,1
19,조용히 해. 소리 지르면 죽는다. 누. 누구. 세요? 왜 이러세요. 닥치고 당장 뒤로 돌아서 엎드려. 가만히 묶여있으면 되는 거야. 자 이제 네 집에 값진 물건들을 다 가져갈 거야. 불만 없지? 왜 이러시는 겁니까. 좋아. 생각보다 쓸만한 것들이 많군. 숨겨놓은 거 있으면 당장 말해. 숨겨놓은 거 없습니다. 저희 집에 이제 아무것도 없어요. 여기 있는 금고는 뭐야? 이 새끼 거짓말 치네 당장 비밀번호 불어 그것만은 안됩니다 뭐? 너 죽고 싶어,0,1
20,영태야 돈 좀 줘 내가 돈이 어딨냐 없어? 다 뒤진다 진짜 없어 아씨 빨리 내놓으라고 지금 저거 먹어야 된다고 없다니까 한대 처맞기 전에 내놔 하. 여기. 역시 우리 영태 최고 그래.,1,2
21,야 돈 있냐?? 없는데 나 오늘 너 매점에서 봤는데 매점에서 다 썼어 잔돈 있을 거 아냐 뒤져서 너 나오면 어쩔래 진짜 없다니까. 주머니에 이건 종이 쪼가리냐? 구라 치네 이 새끼 어 몰랐어. 입만 열면 구라지 이 새끼는,1,0
22,어이 이병 박가람 가서 단가 몇 개 갖고 와라 잘못 들었습니다? 아 씨바 단가 몇 개 가지고 오라고 단가가 뭔지 잘 모르겠습니다 모르면 군 생활 끝나나? 아닙니다 너 앞으로 찐따다 알았냐? 찐따로 관등성명 대라 네 알겠습니다,2,3
23,내가 너 딸 납치했다. 어디예요. 저희 딸 살려주세요 저희 딸 죽이지 말아 주세요. 그럼 지하철 2호선에 500만 원 놓고 가. 그럼 저희 딸 살려주시는 건가요? 언제까지 드리면 될까요? 지금 당장 허튼 생각하면 네 딸 죽는 거야 경찰한테 연락 안 할게요. 저희 딸만 제발 안전하게 살려주세요 너네 하는 거 봐서,1,0
24,이게 사람이라는 동물이 참 웃겨요 선생님 그게 무슨 말이신지. 상대방한테 잘 해주면 그 친절을 받은 사람은 자기가 특별한 줄 알아요 정말 그럴까요? 친해. 지고 싶으니깐 그런 거 아닐까요? 하하. 아니죠 아니죠 그냥 내가 살면서 이 사람한테 잘 해주면 이용해먹거나 호구처럼 사용할 수 있으니깐 그런 거죠 그. 그런가요. 대화의. 요점이. 그러니깐 제가 선생님한테 잘해드릴 때 그냥 제 비위 맞추면서 인생 살라는 거예요 수 틀리면 당신 면상이고 네 새끼들도 얼굴들 생각 못 할 테니깐 한 번만 용서해 주시면. 제 분수대로 살겠습니다. 동물원에 있는 동물들이 먹이를 받아먹으면 이 사람이 자기를 키워주는 줄 알아 그게 아니라 그냥 꼭두각시 짓 할 만큼 명줄 이어가는 건데 나가봐요 다음은 선생님이 아니라 네 자식새끼니깐 알겠습니다.,3,0
25,배고픈데 빵 좀 사와라 네가 좀 가 네가 가고 싶지 않으면 조용히 해 애들 그만 좀 시켜 네가 해라 그럼 싫어 싫어? 싫다 하면 끝이야? 애들 그만 시키라고 그러니까 네가 해 아니면 넌 내 손에 맞아 죽어 하,0,3
26,야 일 제대로 안 해? 아니 물량 수준이 희망 사항 수준인데 그래서 뭐 인마 그 많은 작업량을 똑같은 시간에 어떻게 제대로 합니까? 자네 여기서 불만이 많으면 딴 공장 알아보게나 네 알겠습니다. 그러나 그동안 일한 만큼은 받아 내야겠습니다. 시끄러워 도중에 나간 새끼가 뭘 잘했다고 돈을 받나 아니 지금 말 다 했나요? 남자가 일을 시작했으면 책임지고 끝내야지 이 남자도 아닌 것 아 그래서 돈을 안 주시겠다는 건가요? 난 책임감 없는 존재는 사람으로 안 본다네,3,2
27,안녕하세요 이번에 부서 이동하신 분 맞죠? 아 네. 안녕하세요. 네네. 근데 사업 관리팀 좋지 않나? 어쩌다 인사팀으로 오신 거예요? 아 제가 원래 인사관리 쪽으로 관심이 있었는데 티오가 없어서 기다리다가 티오 생겼다고 해서 바로 오게 되었습니다. 거기서 꽤 높은 직급까지 다셨다고 들었는데 여기선 처음부터 하셔도 괜찮으신 거예요? 호호 그럼요. 전 좋아서 온 건데요. 그렇구나 난 또 거기서 다른 직원분들한테 은근 따돌림당하셔서 옮기신 줄 알았네요. 그런 일 없었습니다. 근데 왜 매번 항상 혼자만 다니시고 딱히 다른 분들이랑 살갑게 지내시는 걸 도통 못 봐서 제가 뭐 오해했나 봐요. 오해가 있으셨나 봐요. 전 그냥 혼자 다니는 게 편해서요. 같이 다녀 주는 직원들이 없는 것 같은데. 성격이 생각보다 별로 신가 봐요. 되게 까칠하실 것 같네. 여기서도 곧 다른 데로 가실까 봐요,4,2
28,오 오늘 스타일 좋은데 미스 양 오늘 데이트 있나 봐? 네? 아니. 왜? 어디 방이라도 잡은 거야? 그런 말씀은. 왜? 성희롱? 뭐? 성희롱으로 신고하려고? 성적인 내용은 불쾌합니다. 아니 나는 좋은데 있어서 가르쳐 주려고 그랬지. 저기 양평에 가면 괜찮은데 있거든. 그거 하기 좋은데. 말씀이 너무 지나치시네요. 선배가 후배한테 신경 써주는데 하여간 요즘 뭐만 하면 다 성희롱이네 폭력이네 무슨 말을 못 해. 하여튼 그런 사적인 말씀은 안 하셨으면 좋겠습니다.,3,2
29,이 정도는 서비스로 주셔야 하는 거 아니에요? 아 그건 서비스는 아닌데요 되게 불친절하시네요 네? 이거 인터넷에 올릴 거예요 네? 동네 장사인데 이렇게 하시면 안되죠 아니 저희도 먹고살아야죠 네 그럼 악플이 늘어나겠네요. 하이고,3,1
30,어 양 선생. 네 교장 선생님. 양 선생 계약기간이 5월까지 아닌가? 네 맞습니다. 아이고. 마음이 약해지는구먼. 양 선생이 열정을 보여주면 내가 한번 고려를 해볼 수 있는데 어때? 열정이요?. 그게 무슨. 알만한 사람이 왜 그래? 교장선생님. 왜 그러세요 아이고 싫으면 말아요. 정교사 하고 싶은 사람은 많으니까. 생각할 시간을 좀 주세요.,3,2
31,야 너 고객한테 누가 그렇게 대들래 카페 이미지 나빠지면 책임질 거야? 아니 저분이 저한테 음담패설을 하는데 어떻게 가만히 있어요 너 나한테까지 대들어? 사장님이 그렇게 당하시면 가만히 있을까요? 난 그런 일 안 당해 봤지만 그냥 무시할 것 같은데 뭐라고요 자기 가게인데다 일도 아르바이트한테 다 시키면서 운영하면서 이 새끼가 너 여기 나가고 싶어? 제가 틀린 말 했나요? 그리고 어떻게 위로 한마디도 안 해줄 수 있나요? 너 바보냐 여기가 교육받는 곳이야? 너 그냥 나가 정말 너무하시네요 너 같은 직원 필요 없어,3,2
